categoria	subcategoria	letter	mode	answer	difficulty	description	acceptedAnswers
Preguntas de cultura general	Cultura general argentina	A	startsWith	Alfonsin	normal	Presidente argentino que asumio en 1983 con el regreso de la democracia.	
Preguntas de cultura general	Cultura general argentina	A	startsWith	Asado	normal	Comida argentina muy asociada a la parrilla y a las reuniones familiares.	
Preguntas de cultura general	Cultura general argentina	A	startsWith	Aconcagua	normal	Cerro mendocino que es el mas alto de America.	
Preguntas de cultura general	Cultura general argentina	A	startsWith	Atahualpa Yupanqui	normal	Cantautor y guitarrista central del folklore argentino.	
Preguntas de cultura general	Cultura general argentina	A	startsWith	Austral	normal	Moneda argentina que circulo antes del peso actual.	
Preguntas de cultura general	Cultura general argentina	A	startsWith	Avenida Corrientes	normal	Avenida porteña famosa por teatros, librerias y pizzerias.	
Preguntas de cultura general	Cultura general argentina	A	startsWith	Aerolineas Argentinas	normal	Linea aerea de bandera de la Argentina.	
Preguntas de cultura general	Cultura general argentina	A	startsWith	Alfajor	normal	Golosina tradicional rellena, muchas veces con dulce de leche.	
Preguntas de cultura general	Cultura general argentina	A	startsWith	AFA	normal	Sigla de la entidad que organiza el futbol argentino.	
Preguntas de cultura general	Cultura general argentina	A	startsWith	Anibal Troilo	normal	Bandoneonista y director de orquesta conocido como Pichuco.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Boca Juniors	normal	Club de futbol del barrio porteño de La Boca.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Bariloche	normal	Ciudad rionegrina famosa por lagos, montañas y chocolate.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Belgrano	normal	Apellido del creador de la bandera argentina.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Bandoneon	normal	Instrumento muy asociado al sonido del tango.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Buenos Aires	normal	Capital de la Argentina.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Bife de chorizo	normal	Corte clasico de carne servido en parrillas argentinas.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Bicentenario	normal	Celebracion de los 200 años de la Revolucion de Mayo.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Borges	normal	Apellido de Jorge Luis, autor de Ficciones y El Aleph.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Bombonera	normal	Estadio de Boca Juniors.	
Preguntas de cultura general	Cultura general argentina	B	startsWith	Balseiro	normal	Instituto de Bariloche reconocido por fisica e ingenieria.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Cordoba	normal	Provincia argentina conocida por sus sierras y por el cuarteto.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Congreso	normal	Edificio donde sesiona el Poder Legislativo nacional.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Cabildo	normal	Edificio historico vinculado a la Revolucion de Mayo.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Chocotorta	normal	Postre popular hecho con galletitas de chocolate y dulce de leche.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Cataratas del Iguazu	normal	Gran atractivo natural compartido por Argentina y Brasil.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Charly Garcia	normal	Musico argentino de Sui Generis, Seru Giran y carrera solista.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Colon	normal	Teatro porteño considerado uno de los grandes teatros liricos del mundo.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Cosquin	normal	Ciudad cordobesa famosa por su festival de folklore.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Cuyo	normal	Region argentina asociada a Mendoza, San Juan y San Luis.	
Preguntas de cultura general	Cultura general argentina	C	startsWith	Caminito	normal	Calle-museo colorida del barrio de La Boca.	
Preguntas de cultura general	Cultura general argentina	D	startsWith	Dulce de leche	normal	Producto dulce usado en alfajores, tortas y panqueques.	
Preguntas de cultura general	Cultura general argentina	D	startsWith	Diego Maradona	normal	Futbolista argentino campeon del mundo en 1986.	
Preguntas de cultura general	Cultura general argentina	D	startsWith	Dique San Roque	normal	Embalse cordobes cercano a Villa Carlos Paz.	
Preguntas de cultura general	Cultura general argentina	D	startsWith	De la Rua	normal	Presidente argentino que renuncio en diciembre de 2001.	
Preguntas de cultura general	Cultura general argentina	D	startsWith	Di Tella	normal	Apellido de un instituto clave de la vanguardia cultural argentina.	
